,frame,x,y,particle
128,128,82.56309815105024,-7.040389450629387,0
129,129,81.29053655870561,-6.967584463493207,0
130,130,82.23300432496993,-6.646635824424916,0
131,131,80.30864797458617,-7.972860337104404,0
132,132,81.56619790617947,-6.97226654905074,0
133,133,80.6561886304643,-6.548763067332967,0
134,134,82.77139900963684,-6.607991208935086,0
135,135,81.939900538643,-6.383223309510921,0
136,136,79.78712681307405,-6.3532473604307675,0
137,137,83.30472159338782,-5.402697655311552,0
138,138,80.7040268203238,-5.697316957597959,0
139,139,79.41908972090312,-4.989508167903946,0
140,140,78.76238249203263,-6.0127996929089385,0
141,141,81.80076931918188,-5.4684840960197185,0
142,142,80.09852379199287,-5.249565795051378,0
143,143,82.95831271585192,-5.918667763327644,0
144,144,80.19108586994875,-4.963165200127914,0
145,145,83.6508006532384,-6.387741056479168,0
