Name,ro,ri,DA,t2,sat,OD,who
DE_60x_70fps_OD_25_exp003,21.0051199949752,4.1199834402604,3.93128676665533,12.8839246605562,49.6560521369767,25,0
DE_60x_70fps_OD_50_exp005,17.784392091835,8.19434794564732,2.57167484480115,4.86151311136219,12.4579506065827,50,0
DE_60x_70fps_OD_80_001,8.79757441637699,3.90981828529932,0.266094661454597,18.4287672406063,4.72162966370404,80,0
DE_60x_OD_125_50fps_exp002,33.0724408536149,16.9203681763268,1.35424255620878,11.4926131346895,14.8973319098316,125,0
DE_60x_OD_125_50fps_exp003,11.7629697646465,3.32747046543749,1.70952094154026,5.20618373324596,8.27397212368045,125,0
DE_60x_OD_40_50fps_exp,30.6250182606144,10.6919902054547,3.28479345190942,5.18172725276619,16.5002974948003,40,0
DE_60x_OD_40_50fps_exp001,30.0487950959989,5.78465425640557,4.18130995332903,13.2590578102921,52.0730575405104,40,0
DE_60x_OD_40_50fps_exp002,11.9871068364135,3.57935022492394,1.87772133040038,13.9323833656022,25.3490677160427,40,0
DE_60x_OD_40_50fps_exp003,16.0363382750266,3.96824008204859,1.97700558807979,10.7141825832089,20.7252191155325,40,0
DE_60x_OD_40_70fps__exp,33.2127516800773,10.1968646259531,5.33363332336525,3.27789732138946,17.3264627095269,40,0
DE_60x_OD_40_70fps_exp002,25.9983976372264,4.42944457591523,14.641372497535,15.9283342411365,226.187345041894,40,0
DE_60x_tubo1_OD_70_70fps_exp001,28.6946848085313,7.9519659937768,18.0768341227307,7.16122491086206,122.000559338597,70,0
DE_7_11_19_30fps_60x_exp2_1003,28.5739322244191,5.70529650282172,31.9356358887625,9.11591019790357,284.339570149308,94,0
DE_7_11_19_30fps_60x_exp3003,22.9528474273895,6.01861502460887,0.302531703406474,15.199040137611,4.62606180837185,170,0
DE_OD10_211220_50fps_exp_1001,26.2137277797986,7.58226650835272,0.46483142802525,4.4149622768097,2.11334973986146,10,0
DE_OD150_211220_50fps_exp_1,40.7661976664266,13.9912120799802,11.0132577682905,4.23952234847557,44.8307206090984,150,0
