t2,t1,sat,sat,OD,Ro,Ri
8.24826763845566,0.32,85.0942382299185,85.0942382299185,24,18.6816967905199,3.65299394478507
6.0212132918612,0.814285714285714,28.6592781790378,28.6592781790378,60,19.1744350393045,6.06341714801249
6.04341886954836,0.814285714285714,28.6746660128322,28.6746660128322,61,19.1744350393045,6.06341714801249
2.02134988937873,0.12,1.25965832549944,1.25965832549944,80,19.8398143956275,12.1388825808806
10.8880507631637,0.26,113.172107147244,113.172107147244,75,19.9764184508075,2.70779688640494
2.74519048614324,0.728571428571429,17.1632065226505,17.1632065226505,17,20.2009885223441,6.70542270642149
3.2517908774866,0.5,5.63571728727403,5.63571728727403,150,20.2415712657331,10.5830068975304
4.26039758315138,0.52,16.9678718233758,16.9678718233758,24,20.6199312728639,5.29150344876521
6.14417750101606,0.528571428571429,51.7785644161309,51.7785644161309,25,21.0051199949752,4.1199834402604
5.2610541437281,0.32,35.039712496216,35.039712496216,25,21.3484851547336,3.01723276028909
2.23913747033519,0.771428571428571,14.3780682161527,14.3780682161527,17,21.7288189301518,7.62737169059999
1.29632562560291,0.0714285714285714,5.00643464330398,5.00643464330398,0.7,21.7685479949653,5.757066326856
3.08074379814726,0.14,7.46270381433556,7.46270381433556,40,22.0549520695476,9.14190963605141
1.49349136610332,0.1,0.263722035666897,0.263722035666897,24,22.2966974482015,16.1307358651662
3.46033872570415,0.333333333333333,3.94935089809521,3.94935089809521,170,22.9528474273895,6.01861502460887
0.578602366642954,0.0714285714285714,1.49171784527671,1.49171784527671,0.7,23.0461706160967,8.9139391279309
4.54142824363578,0.714285714285714,166.965505094692,166.965505094692,83,23.1724320438081,3.95435613163837
2.79319264752755,0.62,99.4026228737048,99.4026228737048,45,24.3080904478312,6.81249012747452
3.05449680360031,0.64,24.5087600374661,24.5087600374661,30,25.0790086187961,5.44358290152521
5.61466658126331,0.4,55.7706857766287,55.7706857766287,150,25.2978165825787,6.43850684878734
5.35033353372255,0.457142857142857,212.231480132498,212.231480132498,40,25.9983976372264,4.42944457591523
2.74616276757785,0.26,2.05227120776593,2.05227120776593,10,26.2137277797986,7.58226650835272
1.84273601472891,0.38,6.25183190481969,6.25183190481969,24,26.2508044263969,10.0849708871105
5.9653068715665,0.44,60.4973442139723,60.4973442139723,24,26.491685087755,4.20929806185122
2.06357153345722,0.12,0.79087471553572,0.79087471553572,30,27.7720527730307,14.8774957907108
6.48886188708781,0.628571428571429,187.354420029648,187.354420029648,83,27.8537004847906,2.76544417702218
3.66260742791784,1.06666666666667,284.819498653584,284.819498653584,94,28.5739322244191,5.70529650282172
3.64310543818378,0.933333333333333,161.542024882329,161.542024882329,100,28.6414728793691,6.1795067497968
2.98679020977236,0.628571428571429,127.276015043089,127.276015043089,70,28.6946848085313,7.9519659937768
1.68094546138456,0.48,2.54474429487057,2.54474429487057,40,28.9906970039276,12.6850715262739
4.42016269069414,0.966666666666667,135.614469220593,135.614469220593,100,29.0842034044937,6.39429572668833
1.97610442157159,0.32,13.1936259964806,13.1936259964806,150,29.9868380059302,16.1264284966481
4.62685511615454,0.84,53.4473913345488,53.4473913345488,40,30.0487950959989,5.78465425640557
2.04523158548854,0.7,16.4618806543174,16.4618806543174,40,30.6250182606144,10.6919902054547
