particle,frame,x,y,Distance,Velocity,Pixel Value
1,255,515,350,1.682,0.841,35
1,256,518,325,3.248,1.624,31
1,257,516,301,3.107,1.553,29
1,258,516,301,0.000,0.000,39
1,259,510,305,0.930,0.465,29
1,260,504,311,1.095,0.547,28
1,261,509,308,0.752,0.376,32
1,262,511,337,3.750,1.875,35
1,263,511,342,0.645,0.323,27
1,264,511,354,1.548,0.774,36
1,265,505,323,4.073,2.037,27
1,266,507,294,3.750,1.875,26
1,267,514,313,2.612,1.306,31
1,268,510,330,2.253,1.126,31
1,269,504,351,2.817,1.409,28
1,270,495,363,1.935,0.968,23
1,271,487,382,2.659,1.330,25
1,272,481,396,1.965,0.982,25
1,273,477,414,2.379,1.189,25
1,274,480,447,4.275,2.137,27
1,275,497,427,3.386,1.693,39
1,276,496,435,1.040,0.520,33
1,277,474,463,4.594,2.297,28
1,278,473,468,0.658,0.329,27
1,279,474,473,0.658,0.329,34
1,280,481,467,1.189,0.595,34
1,281,470,483,2.505,1.252,38
1,282,463,493,1.575,0.787,51
1,283,469,487,1.095,0.547,76
1,284,481,470,2.684,1.342,65
1,285,493,452,2.791,1.395,51
1,286,503,432,2.885,1.442,30
1,287,500,430,0.465,0.233,42
1,288,495,432,0.695,0.347,49
1,289,498,426,0.865,0.433,38
1,290,504,405,2.817,1.409,32
1,291,508,381,3.139,1.569,37
1,292,496,366,2.478,1.239,35
1,293,500,382,2.128,1.064,27
1,294,519,371,2.832,1.416,41
1,295,522,364,0.982,0.491,52
1,296,525,313,6.590,3.295,84
1,297,526,310,0.408,0.204,51
1,298,526,332,2.838,1.419,48
1,299,522,371,5.057,2.529,62
1,300,522,360,1.419,0.710,43
1,301,524,351,1.189,0.595,59
1,302,516,386,4.631,2.316,52
1,303,511,400,1.918,0.959,62
1,304,513,400,0.258,0.129,45
1,305,513,396,0.516,0.258,49
1,306,513,387,1.161,0.581,52
1,307,515,383,0.577,0.288,58
1,308,518,387,0.645,0.323,49
1,309,514,384,0.645,0.323,64
1,310,517,385,0.408,0.204,38
1,311,511,387,0.816,0.408,28
1,312,517,371,2.204,1.102,36
1,313,520,354,2.227,1.113,46
