Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,59,808,528,1.731,0.865,931
1,60,804,524,0.730,0.365,871
1,61,808,538,1.878,0.939,991
1,62,802,542,0.930,0.465,767
1,63,802,496,5.934,2.967,985
1,64,806,496,0.516,0.258,779
1,65,804,480,2.080,1.040,810
1,66,808,506,3.393,1.697,855
1,67,806,492,1.824,0.912,815
1,68,800,496,0.930,0.465,876
1,69,802,518,2.850,1.425,737
1,70,808,554,4.708,2.354,967
1,71,792,578,3.721,1.860,713
1,72,798,558,2.694,1.347,865
1,73,804,522,4.708,2.354,852
1,74,792,496,3.694,1.847,839
1,75,812,518,3.835,1.918,799
1,76,804,582,8.320,4.160,801
1,77,798,584,0.816,0.408,825
1,78,800,592,1.064,0.532,920
1,79,804,540,6.728,3.364,712
1,80,796,530,1.652,0.826,712
1,81,798,484,5.940,2.970,751
1,82,806,496,1.860,0.930,868
1,83,802,532,4.673,2.336,714
1,84,806,558,3.393,1.697,924
1,85,800,560,0.816,0.408,704
1,86,790,546,2.219,1.110,754
1,87,792,560,1.824,0.912,695
1,88,798,588,3.694,1.847,754
1,89,816,616,4.294,2.147,950
1,90,816,570,5.934,2.967,891
1,91,810,566,0.930,0.465,857
1,92,814,586,2.631,1.316,796
1,93,814,578,1.032,0.516,920
1,94,820,586,1.290,0.645,768
1,95,810,618,4.325,2.162,768
1,96,806,608,1.389,0.695,698
1,97,808,600,1.064,0.532,799
1,98,818,576,3.354,1.677,780
1,99,810,530,6.023,3.012,830
1,100,820,574,5.821,2.910,810
1,101,822,550,3.107,1.553,754
1,102,812,530,2.885,1.442,1066
1,103,822,560,4.079,2.040,901
1,104,822,556,0.516,0.258,870
1,105,818,534,2.885,1.442,590
1,106,798,546,3.009,1.504,833
1,107,796,518,3.621,1.811,862
1,108,818,528,3.117,1.559,841
1,109,816,520,1.064,0.532,865
1,110,816,530,1.290,0.645,1044
1,111,818,548,2.336,1.168,965
1,112,816,560,1.569,0.785,899
1,113,816,554,0.774,0.387,726
1,114,822,574,2.694,1.347,792
1,115,814,584,1.652,0.826,805
1,116,808,600,2.204,1.102,935
1,117,822,546,7.196,3.598,825
1,118,820,510,4.651,2.326,987
1,119,814,480,3.947,1.973,837
1,120,814,508,3.612,1.806,1041
1,121,810,576,8.787,4.394,759
1,122,810,578,0.258,0.129,777
1,123,800,562,2.434,1.217,627
1,124,814,592,4.271,2.135,664
1,125,814,560,4.128,2.064,573
1,126,826,606,6.133,3.066,767
1,127,816,562,5.821,2.910,617
1,128,808,516,6.023,3.012,641
1,129,818,526,1.824,0.912,644
1,130,826,552,3.509,1.755,524
1,131,832,574,2.942,1.471,727
1,132,818,530,5.956,2.978,701
1,133,822,546,2.128,1.064,624
1,134,830,604,7.553,3.776,948
1,135,832,580,3.107,1.553,811
1,136,818,644,8.451,4.226,715
1,137,808,650,1.504,0.752,707
1,138,816,656,1.290,0.645,883
1,139,810,660,0.930,0.465,1020
1,140,830,618,6.001,3.000,1070
1,141,832,594,3.107,1.553,826
1,142,830,550,5.682,2.841,860
1,143,836,590,5.218,2.609,734
1,144,838,586,0.577,0.288,677
1,145,838,582,0.516,0.258,803
1,146,842,570,1.632,0.816,828
1,147,840,558,1.569,0.785,804
1,148,836,518,5.186,2.593,722
1,149,816,500,3.471,1.736,789
1,150,830,560,7.948,3.974,701
1,151,828,576,2.080,1.040,872
1,152,838,538,5.069,2.534,785
1,153,822,518,3.304,1.652,717
1,154,816,542,3.191,1.596,719
1,155,814,580,4.909,2.454,709
1,156,822,634,7.042,3.521,694
1,157,838,608,3.938,1.969,835
1,158,830,616,1.459,0.730,780
1,159,844,548,8.956,4.478,837
1,160,830,534,2.554,1.277,925
1,161,832,550,2.080,1.040,932
1,162,830,518,4.136,2.068,1035
1,163,822,524,1.290,0.645,784
1,164,828,512,1.731,0.865,870
1,165,802,466,6.816,3.408,674
1,166,800,496,3.879,1.939,714
1,167,820,464,4.868,2.434,697
1,168,836,534,9.263,4.631,822
1,169,842,600,8.549,4.275,749
1,170,844,618,2.336,1.168,732
1,171,840,608,1.389,0.695,920
1,172,844,626,2.379,1.189,961
1,173,842,570,7.229,3.614,722
1,174,850,614,5.769,2.885,808
1,175,824,684,9.633,4.816,880
1,176,840,658,3.938,1.969,842
1,177,832,636,3.020,1.510,852
1,178,846,594,5.711,2.856,763
1,179,842,582,1.632,0.816,674
1,180,836,608,3.442,1.721,740
1,181,836,632,3.096,1.548,947
1,182,842,624,1.290,0.645,919
1,183,842,628,0.516,0.258,694
1,184,834,630,1.064,0.532,766
1,185,824,680,6.578,3.289,842
1,186,832,650,4.005,2.003,661
1,187,846,600,6.698,3.349,836
1,188,834,652,6.884,3.442,729
1,189,850,620,4.615,2.308,821
1,190,844,594,3.442,1.721,1099
1,191,846,594,0.258,0.129,628
1,192,836,582,2.015,1.008,956
1,193,832,592,1.389,0.695,926
1,194,848,590,2.080,1.040,845
1,195,844,640,6.471,3.235,903
1,196,854,610,4.079,2.040,853
1,197,850,566,5.699,2.850,973
1,198,862,550,2.580,1.290,980
1,199,846,620,9.263,4.631,902
1,200,862,540,10.524,5.262,761
1,201,854,572,4.255,2.128,794
1,202,858,522,6.471,3.235,1130
1,203,848,606,10.913,5.456,915
1,204,846,608,0.365,0.182,984
1,205,856,586,3.117,1.559,867
1,206,850,516,9.063,4.532,873
1,207,860,524,1.652,0.826,1211
1,208,854,488,4.708,2.354,987
1,209,862,494,1.290,0.645,839
1,210,856,486,1.290,0.645,704
1,211,852,456,3.904,1.952,875
1,212,860,508,6.787,3.393,920
1,213,866,460,6.240,3.120,939
1,214,832,436,5.369,2.684,764
1,215,850,462,4.079,2.040,741
1,216,840,464,1.316,0.658,897
1,217,848,480,2.308,1.154,764
1,218,844,428,6.728,3.364,642
1,219,844,466,4.902,2.451,636
1,220,856,486,3.009,1.504,976
1,221,860,534,6.213,3.107,682
1,222,836,596,8.576,4.288,1039
1,223,850,544,6.947,3.473,949
1,224,850,462,10.578,5.289,828
1,225,844,516,7.009,3.504,925
1,226,834,514,1.316,0.658,865
1,227,850,492,3.509,1.755,844
1,228,842,512,2.779,1.389,842
1,229,830,536,3.461,1.731,800
1,230,810,532,2.631,1.316,692
1,231,854,542,5.821,2.910,808
1,232,834,592,6.947,3.473,787
1,233,850,552,5.557,2.779,979
1,234,852,500,6.713,3.356,807
1,235,860,478,3.020,1.510,782
1,236,850,460,2.656,1.328,986
1,237,852,508,6.197,3.099,811
1,238,850,494,1.824,0.912,1008
1,239,850,540,5.934,2.967,952
1,240,836,606,8.703,4.352,720
1,241,850,528,10.223,5.111,867
1,242,848,584,7.229,3.614,852
1,243,850,602,2.336,1.168,667
1,244,852,498,13.418,6.709,1096
1,245,842,440,7.592,3.796,954
1,246,834,394,6.023,3.012,776
1,247,838,406,1.632,0.816,940
1,248,848,436,4.079,2.040,864
1,249,860,520,10.946,5.473,644
1,250,850,562,5.569,2.785,925
1,251,844,596,4.454,2.227,791
1,252,858,486,14.304,7.152,812
1,253,858,510,3.096,1.548,1057
1,254,858,502,1.032,0.516,995
1,255,846,584,10.691,5.345,891
1,256,838,572,1.860,0.930,644
1,257,850,520,6.884,3.442,929
1,258,852,482,4.909,2.454,711
1,259,856,526,5.699,2.850,818
1,260,850,580,7.009,3.504,813
1,261,852,576,0.577,0.288,800
1,262,854,560,2.080,1.040,818
1,263,854,570,1.290,0.645,721
1,264,860,546,3.191,1.596,830
1,265,858,504,5.424,2.712,955
1,266,858,448,7.224,3.612,742
1,267,860,526,10.065,5.033,871
1,268,858,530,0.577,0.288,906
1,269,862,514,2.128,1.064,712
1,270,862,502,1.548,0.774,759
1,271,850,592,11.713,5.856,678
1,272,808,670,11.428,5.714,775
1,273,790,686,3.107,1.553,1020
1,274,828,570,15.746,7.873,780
1,275,834,522,6.240,3.120,642
1,276,836,514,1.064,0.532,806
1,277,830,550,4.708,2.354,933
1,278,824,504,5.984,2.992,876
1,279,834,528,3.354,1.677,703
1,280,832,556,3.621,1.811,759
1,281,834,546,1.316,0.658,995
1,282,818,614,9.012,4.506,923
1,283,794,588,4.564,2.282,1118
1,284,786,602,2.080,1.040,932
1,285,778,552,6.532,3.266,797
1,286,782,508,5.699,2.850,1039
1,287,810,540,5.485,2.743,1186
1,288,766,678,18.685,9.342,1168
1,289,776,670,1.652,0.826,1033
1,290,804,580,12.159,6.079,888
1,291,824,586,2.694,1.347,822
1,292,830,548,4.963,2.481,1038
1,293,834,538,1.389,0.695,854
1,294,820,648,14.304,7.152,803
1,295,818,636,1.569,0.785,903
1,296,826,602,4.506,2.253,942
1,297,828,586,2.080,1.040,856
1,298,818,626,5.319,2.659,994
1,299,836,562,8.576,4.288,831
1,300,834,542,2.593,1.296,813
1,301,830,518,3.139,1.569,695
1,302,838,528,1.652,0.826,806
1,303,828,548,2.885,1.442,855
1,304,834,512,4.708,2.354,682
1,305,824,492,2.885,1.442,658
1,306,812,516,3.461,1.731,697
1,307,848,514,4.651,2.326,721
1,308,836,554,5.387,2.694,907
1,309,848,508,6.133,3.066,699
1,310,850,504,0.577,0.288,759
1,311,802,640,18.605,9.302,844
1,312,802,642,0.258,0.129,940
1,313,848,546,13.732,6.866,981
1,314,840,484,8.064,4.032,778
1,315,834,568,10.864,5.432,926
1,316,818,568,2.064,1.032,938
1,317,838,554,3.149,1.575,962
1,318,822,624,9.263,4.631,757
1,319,830,616,1.459,0.730,931
1,320,806,628,3.461,1.731,748
1,321,834,530,13.148,6.574,789
1,322,838,580,6.471,3.235,678
1,323,840,512,8.776,4.388,729
1,324,844,488,3.139,1.569,598
1,325,828,438,6.772,3.386,871
1,326,838,452,2.219,1.110,819
1,327,816,410,6.116,3.058,633
1,328,816,464,6.966,3.483,576
1,329,842,512,7.042,3.521,745
1,330,846,550,4.929,2.465,778
1,331,814,552,4.136,2.068,926
1,332,834,526,4.232,2.116,982
1,333,838,532,0.930,0.465,860
1,334,838,568,4.644,2.322,836
1,335,830,626,7.553,3.776,804
1,336,820,660,4.572,2.286,995
1,337,822,680,2.593,1.296,859
1,338,824,634,5.940,2.970,847
1,339,838,572,8.199,4.100,1065
1,340,840,570,0.365,0.182,966
1,341,848,534,4.757,2.379,787
1,342,840,490,5.769,2.885,777
1,343,832,460,4.005,2.003,710
1,344,838,478,2.448,1.224,662
1,345,842,498,2.631,1.316,990
1,346,844,470,3.621,1.811,842
1,347,838,442,3.694,1.847,642
1,348,840,454,1.569,0.785,846
1,349,848,510,7.297,3.649,633
1,350,848,500,1.290,0.645,792
1,351,846,482,2.336,1.168,865
1,352,846,524,5.418,2.709,855
1,353,840,480,5.729,2.864,965
1,354,824,454,3.938,1.969,1127
1,355,814,536,10.656,5.328,1054
1,356,814,568,4.128,2.064,870
1,357,838,560,3.263,1.632,928
1,358,838,570,1.290,0.645,1010
1,359,840,544,3.364,1.682,971
1,360,842,570,3.364,1.682,845
1,361,840,550,2.593,1.296,939
1,362,838,536,1.824,0.912,779
1,363,842,514,2.885,1.442,811
1,364,838,488,3.393,1.697,935
1,365,826,442,6.133,3.066,829
1,366,842,572,16.897,8.448,953
1,367,846,554,2.379,1.189,940
1,368,846,552,0.258,0.129,757
1,369,846,570,2.322,1.161,785
1,370,826,644,9.889,4.944,739
1,371,810,668,3.721,1.860,726
1,372,844,584,11.690,5.845,732
1,373,850,524,7.779,3.889,1057
1,374,838,582,7.640,3.820,856
1,375,842,602,2.631,1.316,899
1,376,842,578,3.096,1.548,823
1,377,846,568,1.389,0.695,765
1,378,842,574,0.930,0.465,697
1,379,854,554,3.009,1.504,877
1,380,842,488,8.654,4.327,843
1,381,844,468,2.593,1.296,911
1,382,840,478,1.389,0.695,690
1,383,848,520,5.515,2.758,838
1,384,848,518,0.258,0.129,893
1,385,840,482,4.757,2.379,798
1,386,832,428,7.042,3.521,770
1,387,846,524,12.515,6.257,867
1,388,836,462,8.101,4.051,892
1,389,834,466,0.577,0.288,894
1,390,844,470,1.389,0.695,781
1,391,850,552,10.606,5.303,689
1,392,844,568,2.204,1.102,701
1,393,844,516,6.708,3.354,988
1,394,838,524,1.290,0.645,770
1,395,852,584,7.948,3.974,772
1,396,850,516,8.776,4.388,802
1,397,852,544,3.621,1.811,1002
1,398,850,566,2.850,1.425,775
1,399,844,576,1.504,0.752,921
1,400,850,528,6.240,3.120,764
1,401,850,516,1.548,0.774,877
1,402,848,572,7.229,3.614,868
1,403,852,556,2.128,1.064,1099
1,404,828,476,10.774,5.387,743
1,405,808,518,6.001,3.000,648
1,406,842,526,4.506,2.253,833
1,407,848,532,1.095,0.547,819
1,408,848,510,2.838,1.419,822
1,409,834,478,4.506,2.253,832
1,410,844,520,5.569,2.785,943
1,411,820,626,14.020,7.010,1127
1,412,828,636,1.652,0.826,1071
1,413,830,596,5.166,2.583,821
1,414,836,580,2.204,1.102,892
1,415,840,496,10.848,5.424,886
1,416,836,496,0.516,0.258,775
1,417,832,490,0.930,0.465,690
1,418,836,548,7.500,3.750,737
1,419,818,588,5.658,2.829,712
1,420,812,586,0.816,0.408,719
1,421,828,594,2.308,1.154,868
1,422,832,600,0.930,0.465,764
1,423,840,500,12.941,6.471,847
1,424,840,510,1.290,0.645,654
1,425,846,556,5.984,2.992,815
1,426,834,616,7.893,3.947,901
1,427,824,640,3.354,1.677,831
1,428,828,554,11.106,5.553,627
1,429,822,534,2.694,1.347,559
1,430,854,592,8.545,4.273,1395
1,431,840,508,10.985,5.493,991
1,432,816,528,4.030,2.015,914
1,433,848,504,5.160,2.580,971
1,434,854,526,2.942,1.471,1019
1,435,844,486,5.319,2.659,791
1,436,844,472,1.806,0.903,957
1,437,854,486,2.219,1.110,750
1,438,848,508,2.942,1.471,957
1,439,854,536,3.694,1.847,890
1,440,854,504,4.128,2.064,834
1,441,856,494,1.316,0.658,776
1,442,858,480,1.824,0.912,790
1,443,854,470,1.389,0.695,816
1,444,854,500,3.870,1.935,857
1,445,838,446,7.265,3.633,737
1,446,854,476,4.386,2.193,833
1,447,856,592,14.966,7.483,1075
1,448,852,608,2.128,1.064,777
1,449,854,606,0.365,0.182,908
1,450,848,618,1.731,0.865,933
1,451,854,592,3.442,1.721,941
1,452,850,570,2.885,1.442,989
1,453,858,526,5.769,2.885,818
1,454,856,518,1.064,0.532,786
1,455,858,584,8.518,4.259,758
1,456,848,618,4.572,2.286,1057
1,457,848,602,2.064,1.032,921
1,458,850,570,4.136,2.068,952
1,459,856,578,1.290,0.645,1062
1,460,864,582,1.154,0.577,722
1,461,862,592,1.316,0.658,811
1,462,848,612,3.149,1.575,720
1,463,854,646,4.454,2.227,686
1,464,846,668,3.020,1.510,692
1,465,846,658,1.290,0.645,749
1,466,846,654,0.516,0.258,845
1,467,854,574,10.371,5.186,779
1,468,862,558,2.308,1.154,788
1,469,848,636,10.223,5.111,897
1,470,826,632,2.885,1.442,919
1,471,852,572,8.435,4.218,803
1,472,852,522,6.450,3.225,727
1,473,866,494,4.038,2.019,867
1,474,878,508,2.379,1.189,730
1,475,868,480,3.835,1.918,678
1,476,872,504,3.139,1.569,755
1,477,872,526,2.838,1.419,708
1,478,868,586,7.757,3.879,827
1,479,872,566,2.631,1.316,914
1,480,864,532,4.506,2.253,694
1,481,858,522,1.504,0.752,755
1,482,880,502,3.835,1.918,802
1,483,866,476,3.809,1.905,795
1,484,870,566,11.621,5.811,959
1,485,870,556,1.290,0.645,757
1,486,868,494,8.002,4.001,755
1,487,872,544,6.471,3.235,920
1,488,866,618,9.577,4.789,853
1,489,864,538,10.323,5.162,808
1,490,874,574,4.820,2.410,702
1,491,844,664,12.238,6.119,955
1,492,832,644,3.009,1.504,970
1,493,848,600,6.040,3.020,933
1,494,856,490,14.227,7.114,904
1,495,862,568,10.092,5.046,1048
1,496,858,476,11.879,5.940,874
1,497,872,504,4.038,2.019,787
1,498,870,532,3.621,1.811,776
1,499,868,574,5.424,2.712,832
1,500,870,574,0.258,0.129,898
1,501,874,532,5.443,2.721,770
1,502,868,596,8.292,4.146,633
1,503,870,594,0.365,0.182,727
1,504,870,548,5.934,2.967,757
1,505,870,600,6.708,3.354,790
1,506,870,570,3.870,1.935,814
1,507,874,510,7.757,3.879,761
1,508,886,548,5.141,2.570,619
1,509,874,482,8.654,4.327,695
1,510,868,480,0.816,0.408,856
1,511,840,438,6.512,3.256,906
1,512,838,430,1.064,0.532,783
1,513,878,514,12.002,6.001,710
1,514,868,562,6.325,3.162,899
1,515,870,580,2.336,1.168,946
1,516,872,590,1.316,0.658,784
1,517,850,654,8.730,4.365,1422
1,518,866,564,11.792,5.896,918
1,519,910,454,15.283,7.642,687
1,520,902,440,2.080,1.040,765
1,521,908,438,0.816,0.408,895
1,522,898,438,1.290,0.645,831
1,523,894,358,10.333,5.166,886
1,524,896,368,1.316,0.658,820
1,525,900,436,8.787,4.394,1047
1,526,882,384,7.099,3.549,871
1,527,868,364,3.149,1.575,965
1,528,854,364,1.806,0.903,1177
1,529,878,358,3.191,1.596,890
1,530,898,450,12.145,6.073,747
1,531,902,468,2.379,1.189,961
1,532,886,388,10.524,5.262,1031
1,533,884,348,5.166,2.583,811
1,534,894,380,4.325,2.162,729
1,535,900,486,13.696,6.848,769
1,536,896,504,2.379,1.189,872
1,537,900,432,9.302,4.651,722
1,538,878,406,4.394,2.197,722
1,539,896,486,10.578,5.289,694
1,540,884,528,5.635,2.817,712
1,541,876,516,1.860,0.930,718
1,542,856,596,10.638,5.319,808
1,543,826,650,7.969,3.984,835
1,544,880,566,12.882,6.441,859
1,545,884,568,0.577,0.288,895
1,546,890,530,4.963,2.481,891
1,547,902,500,4.168,2.084,729
1,548,892,486,2.219,1.110,818
1,549,896,418,8.787,4.394,859
1,550,868,414,3.649,1.824,1027
1,551,868,454,5.160,2.580,1107
1,552,880,444,2.015,1.008,857
1,553,898,424,3.471,1.736,746
1,554,888,324,12.964,6.482,724
1,555,906,344,3.471,1.736,812
1,556,902,362,2.379,1.189,757
1,557,902,378,2.064,1.032,786
1,558,902,360,2.322,1.161,672
1,559,876,436,10.362,5.181,732
1,560,868,498,8.064,4.032,567
1,561,900,488,4.325,2.162,738
1,562,904,418,9.045,4.522,756
1,563,834,460,10.531,5.265,693
1,564,822,518,7.640,3.820,626
1,565,856,448,10.039,5.019,774
1,566,852,430,2.379,1.189,721
1,567,834,384,6.372,3.186,816
1,568,814,446,8.404,4.202,624
1,569,810,468,2.885,1.442,619
1,570,842,396,10.164,5.082,747
1,571,834,360,4.757,2.379,799
1,572,848,400,5.467,2.733,786
1,573,840,420,2.779,1.389,663
1,574,836,404,2.128,1.064,693
1,575,850,480,9.969,4.984,687
1,576,836,562,10.731,5.366,989
1,577,848,552,2.015,1.008,666
1,578,836,552,1.548,0.774,741
1,579,828,496,7.297,3.649,701
1,580,822,530,4.454,2.227,729
1,581,852,516,4.271,2.135,828
1,582,852,546,3.870,1.935,842
1,583,860,520,3.509,1.755,774
1,584,860,504,2.064,1.032,707
1,585,816,638,18.194,9.097,832
1,586,814,620,2.336,1.168,786
1,587,852,556,9.602,4.801,935
1,588,856,492,8.272,4.136,836
1,589,852,430,8.015,4.007,758
1,590,826,566,17.862,8.931,856
1,591,836,578,2.015,1.008,709
1,592,840,500,10.075,5.038,906
1,593,836,402,12.653,6.326,780
1,594,848,460,7.640,3.820,891
1,595,820,348,14.893,7.446,849
1,596,840,374,4.232,2.116,863
1,597,856,466,12.046,6.023,779
1,598,826,510,6.870,3.435,575
1,599,826,596,11.094,5.547,666
1,600,858,524,10.164,5.082,729
1,601,834,378,19.087,9.543,686
1,602,852,518,18.209,9.104,764
1,603,856,520,0.577,0.288,805
1,604,952,424,17.514,8.757,740
1,605,934,458,4.963,2.481,730
1,606,956,358,13.208,6.604,811
1,607,950,482,16.015,8.007,786
1,608,930,244,30.810,15.405,953
1,609,960,388,18.975,9.487,766
1,610,940,524,17.733,8.866,945
