particle,frame,x,y,c1,c2,c3
1,266,729,519,3.999,2.000,5060
1,267,729,493,3.354,1.677,5819
1,268,730,481,1.553,0.777,5532
1,269,730,472,1.161,0.581,7195
1,270,728,450,2.850,1.425,6198
1,271,733,460,1.442,0.721,5451
1,272,730,470,1.347,0.673,5712
1,273,730,488,2.322,1.161,4628
1,274,731,491,0.408,0.204,5746
1,275,732,480,1.425,0.712,5418
1,276,729,450,3.889,1.945,5609
1,277,730,451,0.182,0.091,5856
1,278,733,478,3.504,1.752,5890
1,279,730,499,2.737,1.368,5641
1,280,730,494,0.645,0.323,6186
1,281,729,514,2.583,1.292,6327
1,282,730,506,1.040,0.520,5460
1,283,722,513,1.371,0.686,5077
1,284,725,509,0.645,0.323,4817
1,285,729,501,1.154,0.577,4158
1,286,725,494,1.040,0.520,4825
1,287,731,501,1.189,0.595,5457
1,288,730,494,0.912,0.456,5609
1,289,731,503,1.168,0.584,4770
1,290,729,488,1.952,0.976,5752
1,291,731,487,0.288,0.144,6252
1,292,731,494,0.903,0.452,5711
1,293,729,480,1.824,0.912,5278
1,294,730,485,0.658,0.329,5754
1,295,730,487,0.258,0.129,4917
1,296,731,493,0.785,0.392,4694
1,297,730,492,0.182,0.091,6039
1,298,729,498,0.785,0.392,4773
1,299,728,487,1.425,0.712,5003
1,300,730,501,1.824,0.912,4916
1,301,729,495,0.785,0.392,5098
1,302,728,502,0.912,0.456,4604
1,303,730,514,1.569,0.785,5243
1,304,729,524,1.296,0.648,4989
1,305,728,521,0.408,0.204,5039
1,306,725,516,0.752,0.376,4785
1,307,728,506,1.347,0.673,5619
1,308,725,503,0.547,0.274,4997
1,309,731,490,1.847,0.923,5747
1,310,729,471,2.465,1.232,5531
