x,y,filename,frame,particle
242.800003051758,236.000007629395,6800,136,0
237.400001525879,241.000007629395,6850,137,0
237.200004577637,241.200004577637,6900,138,0
242.000007629395,234,6950,139,0
241.000007629395,239.000007629395,7000,140,0
237.600006103516,241.600006103516,7050,141,0
237.200004577637,228,7100,142,0
213.200004577637,212.600006103516,7150,143,0
224.000007629395,214.600006103516,7200,144,0
214.600006103516,214.200004577637,7250,145,0
216.600006103516,214.200004577637,7300,146,0
217.400001525879,207,7350,147,0
217.200004577637,207.200004577637,7400,148,0
220.800003051758,210.800003051758,7450,149,0
223.800003051758,207.800003051758,7500,150,0
219.600006103516,210.800003051758,7550,151,0
222.800003051758,210.200004577637,7600,152,0
216.200004577637,223.400001525879,7650,153,0
233.000007629395,238.800003051758,7700,154,0
