particle,frame,x,y,Distance,Velocity,Pixel Value
1,381,692,438,1.154,0.577,78
1,382,689,445,0.982,0.491,64
1,383,692,430,1.973,0.987,62
1,384,690,438,1.064,0.532,81
1,385,693,422,2.100,1.050,78
1,386,692,432,1.296,0.648,91
1,387,696,453,2.758,1.379,75
1,388,692,458,0.826,0.413,65
1,389,694,420,4.909,2.454,75
1,390,694,417,0.387,0.194,85
1,391,693,464,6.064,3.032,64
1,392,697,468,0.730,0.365,64
1,393,688,469,1.168,0.584,61
1,394,694,441,3.694,1.847,73
1,395,690,474,4.288,2.144,81
1,396,694,473,0.532,0.266,79
1,397,693,432,5.291,2.645,74
1,398,696,422,1.347,0.673,66
1,399,690,441,2.570,1.285,57
1,400,696,446,1.008,0.504,72
1,401,698,436,1.316,0.658,68
1,402,694,426,1.389,0.695,86
1,403,693,422,0.532,0.266,108
1,404,693,432,1.290,0.645,96
1,405,697,438,0.930,0.465,121
1,406,694,476,4.917,2.459,91
1,407,693,452,3.099,1.549,118
1,408,694,464,1.553,0.777,76
1,409,696,449,1.952,0.976,64
1,410,698,468,2.465,1.232,78
1,411,690,440,3.757,1.878,73
1,412,693,437,0.547,0.274,70
1,413,693,441,0.516,0.258,98
1,414,698,453,1.677,0.839,108
1,415,700,442,1.442,0.721,96
1,416,693,398,5.747,2.874,105
1,417,693,378,2.580,1.290,83
1,418,693,453,9.675,4.838,90
1,419,693,458,0.645,0.323,86
1,420,697,466,1.154,0.577,95
1,421,698,453,1.682,0.841,96
1,422,696,442,1.442,0.721,96
1,423,694,464,2.850,1.425,104
1,424,693,470,0.785,0.392,120
1,425,696,438,4.146,2.073,98
1,426,696,410,3.612,1.806,104
1,427,693,396,1.847,0.923,90
1,428,690,386,1.347,0.673,99
1,429,694,405,2.505,1.252,119
1,430,693,382,2.970,1.485,99
1,431,692,393,1.425,0.712,104
1,432,697,424,4.051,2.025,100
1,433,698,438,1.811,0.905,107
1,434,696,394,5.682,2.841,100
1,435,689,376,2.491,1.246,110
1,436,689,386,1.290,0.645,91
1,437,694,418,4.178,2.089,81
1,438,692,412,0.816,0.408,79
1,439,692,418,0.774,0.387,103
1,440,696,485,8.658,4.329,96
1,441,693,510,3.248,1.624,91
1,442,689,473,4.801,2.400,90
