particle,frame,x,y,c1,c2,c3
1,491,208,102,2.019,1.010,8888
1,492,208,138,4.644,2.322,8606
1,493,207,127,1.425,0.712,8103
1,494,210,129,0.465,0.233,7391
1,495,210,126,0.387,0.194,10150
1,496,208,110,2.080,1.040,11649
1,497,202,107,0.865,0.433,14830
1,498,207,97,1.442,0.721,6963
1,499,206,113,2.068,1.034,7526
1,500,209,102,1.471,0.735,8396
1,501,206,108,0.865,0.433,9640
1,502,208,125,2.208,1.104,8597
1,503,209,134,1.168,0.584,9362
1,504,207,132,0.365,0.182,7069
1,505,208,131,0.182,0.091,8279
1,506,208,143,1.548,0.774,14051
1,507,209,140,0.408,0.204,8681
1,508,210,123,2.197,1.098,4552
1,509,210,111,1.548,0.774,7067
1,510,209,105,0.785,0.392,10729
1,511,208,137,4.130,2.065,5446
1,512,206,145,1.064,0.532,6028
1,513,207,144,0.182,0.091,7643
1,514,211,119,3.266,1.633,7674
1,515,209,107,1.569,0.785,8826
1,516,210,127,2.583,1.292,7963
1,517,210,121,0.774,0.387,7215
1,518,206,118,0.645,0.323,8217
1,519,209,113,0.752,0.376,9900
1,520,208,103,1.296,0.648,9212
1,521,207,116,1.682,0.841,6820
1,522,207,113,0.387,0.194,7745
1,523,209,112,0.288,0.144,6886
1,524,211,120,1.064,0.532,8935
1,525,210,125,0.658,0.329,7676
1,526,210,139,1.806,0.903,10904
1,527,205,133,1.008,0.504,5955
1,528,207,137,0.577,0.288,8287
1,529,202,156,2.534,1.267,5576
1,530,205,135,2.737,1.368,12975
1,531,207,127,1.064,0.532,11718
1,532,207,115,1.548,0.774,10970
1,533,211,129,1.878,0.939,8246
1,534,205,150,2.817,1.409,7317
1,535,207,149,0.288,0.144,5777
1,536,207,155,0.774,0.387,5311
