DE#,Date,Video#,MPP,FPS,OD,D,D_err,d,d_err,Easy to analyze?,Plane,Comment,x0,y0,Rinfy,t2,(D-d)/d^2,D-d,d^3/(D-d),t1_fit,t2_fit,DA_fit,(D-d)/d,DA/OD,c,number of bacteria,mean velocity (1s),mean velocity middle,mean velocity end,Unnamed: 30,Fitting,Steadiness
135,,experimentoDE_OD45_211220_50fps_exp_1,0.11,50.0,45,61.3,,28.3,,,XY,Chile,,,5.5,2.1,0.0412041603715866,33.0,686.823848484849,0.17,1.5,2.05,1.1660777385159,0.0455555555555556,0.0391211386629147,3912.7139964,,,,,,1.1124020322599246
137,,experimentoDE_OD45_211220_50fps_exp_1002,0.11,50.0,45,33.8,,13.8,,,XY,Chile,,,19.0,5.3,0.10501995379122,20.0,131.4036,0.1,5.13,2.12,1.44927536231884,0.0471111111111111,0.0989522574776436,677.983776,,,,,,1.4048595966822008
138,,experimentoDE_OD45_211220_50fps_exp_1003,0.11,50.0,45,48.6,,13.6,,,XY,Chile,,,40.0,4.2,0.189230103806228,35.0,71.8701714285714,0.48,2.08,12.56,2.57352941176471,0.279111111111111,0.105982031280146,2115.276072,,,,,,1.0727970669414237
140,,experimentoDE_OD45_211220_50fps_exp_1006,0.11,50.0,45,71.6,,24.4,,,XY,Chile,,,35.0,2.6,0.0792797635044343,47.2,307.770847457627,0.21,2.04,9.7,1.9344262295082,0.215555555555555,0.0159196106108981,6641.75774208,,,,,,1.0595121229137003
141,,experimentoDE_OD45_211220_50fps_exp_1007,0.11,50.0,45,73.3,,43.8,,,XY,Chile,,,2.3,,0.0153770772085653,29.5,2848.39566101695,0.0,1.04,1.05,0.67351598173516,0.0233333333333333,0.0595781691499682,5836.7293086,,,,,bad,1.4628786134011396
143,,experimentoDE_OD150_211220_50fps_exp_1001,0.11,50.0,150,32.5,,20.7,,,XY,Chile,,,3.5,,0.0275385656608089,11.8,751.67313559322,0.0,6.23,0.26,0.570048309178744,0.00173333333333333,0.0421840721201417,1598.7863896,,,,,,0.18408587082465633
147,,experimentoexp_od25_60x_50fps_1002,0.11,50.0,25,42.7,,6.0,,,XY,Chile,,,20.0,9.0,1.01944444444444,36.7,5.88555858310627,0.03,9.69,1.05,6.11666666666667,0.042,0.0152734500211594,812.616122066667,,,,,,1.9304758497673153
150,,experimentoexp_od110_60x_50fps_1001,0.11,50.0,110,97.0,,44.1,,,XY,Chile,,,16.0,1.6,0.0272006005728066,52.9,1621.287731569,0.47,0.47,34.66,1.19954648526077,0.315090909090909,0.030459252985614,38081.8181342133,,,,,bad,1.171062183689522
152,,experimentoexp_od110_60x_50fps_1004,0.11,50.0,110,84.1,,33.5,,,XY,Chile,,,50.0,2.2,0.0450879928714636,50.6,742.991600790514,0.07,1.73,15.58,1.51044776119403,0.141636363636364,0.0290292554217842,25662.2043397867,,,,,,1.2294224339890554
153,,experimentoexp_od125_60x_50fps_1,0.11,50.0,125,66.1,,17.8,,,XY,Chile,,,60.0,2.6,0.152442873374574,48.3,116.765051759834,0.25,1.57,22.31,2.71348314606742,0.17848,0.0657369650869989,14818.969851,,,,,,1.0894619382460724
154,,experimentoexp_od125_60x_50fps_1001,0.11,50.0,125,66.7,,40.3,,,XY,Chile,,,4.0,2.0,0.0162552567899562,26.4,2479.19799242424,0.08,1.8,1.12,0.655086848635236,0.00896,0.0743748396603532,12104.183784,,,,,,1.044912113873437
157,,experimentoVideos_2020DE_60x_70fps_OD_17_exp002,0.11,70.0,17,40.4,,13.4,,,XY,Chile,,,9.0,4.8,0.150367565159278,27.0,89.114962962963,0.49,2.5,1.99,2.01492537313433,0.117058823529412,0.0276662157258594,452.18667744,,,,,,1.410593397016473
158,,experimentoVideos_2020201020_DE_60x_od61_70fps_exp_002.mat,0.11,70.0,61,38.3,,12.1,,,XY,Chile,,,20.0,13.0,0.178949525305649,26.2,67.6168320610687,0.46,11.0,1.11,2.16528925619835,0.0181967213114754,0.0507796243138472,1389.56717893867,,,,,,0.459936539228618
159,,experimentoVideos_2020201020_DE_60x_od83_70fps_exp_4_,0.11,70.0,83,55.7,,5.5,,,XY,Chile,,,100.0,11.0,1.6595041322314,50.2,3.31424302788845,0.3,12.23,5.66,9.12727272727273,0.0681927710843374,0.0766376615314146,5999.20545562133,,,,,,2.3956516491377853
161,2022-05-31,0,0.33,50.0,38,129.87,1.14,82.59,1.1,,XZ,,280.0,266.0,,,0.00693142511551752,47.28,11915.2986036168,,0.14,0.86,0.572466400290592,0.0226315789473684,0.0953121312079605,25885.4442019626,5.25,,,,bad,1.0675475290448027
162,2022-05-31,1,0.33,50.0,38,60.08,0.64,15.26,0.38,,XZ,,120.5,138.5,,,0.192469884174527,44.82,79.2851311021865,0.15,3.47,2.88,2.93709043250328,0.0757894736842105,0.0502570104078004,3393.64523588314,2.76,,,,,1.1640145676724951
171,2022-05-31,10,0.33,50.0,40,184.76,0.79,37.01,0.82,,XZ,,385.0,329.0,,,0.107867178598334,147.75,343.107147891709,0.57,0.57,18.32,3.99216427992434,0.458,0.113972636785959,104772.520221096,7.73,,,,bad,1.1841717753714345
175,2022-06-01,3,0.33,50.0,33,43.57155,,12.26544,,,XZ,,146.0,127.0,,,0.208095573496409,31.30611,58.9413786844037,0.5,3.88,0.54,2.55238377098579,0.0163636363636364,0.402059275879014,1117.36194867522,1.05,,,,,1.1760225606061858
176,2022-06-01,4,0.33,50.0,33,160.70868,,22.46574,,,XZ,,292.5,313.5,,,0.273905974012158,138.24294,82.0198978172079,0.21,1.71,4.85,6.1535003966039,0.146969696969697,0.258954735622816,57188.9746758107,3.14,,,,bad,1.110756306743159
177,2022-06-01,5,0.33,50.0,33,139.28442,,16.55247,,,XZ,,304.0,296.0,,,0.447952552496789,122.73195,36.9513911858302,0.11,4.53,3.94,7.41472118662653,0.119393939393939,0.130742855757985,37270.0896282528,4.78,,,,,1.0030208457431522
178,2022-06-01,6,0.33,50.0,33,55.7667,,13.49271,,,XZ,,146.5,132.5,,,0.232206764977399,42.27399,58.1064466460022,0.22,6.78,0.44,3.1330985398782,0.0133333333333333,0.209472363285647,2362.17476148697,2.95,,,,,1.086818064771393
181,2022-06-01,9,0.33,50.0,33,39.95442,,11.61501,,,XZ,,103.5,89.5,,,0.2100639987081,28.33941,55.292720653861,0.07,5.89,0.26,2.43989544563457,0.00787878787878788,0.705723310455789,859.555561414936,1.95,,,,,1.3997177355310189
182,2022-06-02,0,0.33,50.0,26,151.48122,,34.97076,,,XZ,,260.5,263.5,,,0.0952696951498591,116.51046,367.071186120529,0.52,0.75,5.87,3.33165364435889,0.225769230769231,0.249287050703638,37371.5837959418,6.17,,,,,1.1221966357139153
183,2022-06-02,1,0.33,50.0,26,55.44627,,13.9128,,,XZ,,142.0,132.0,,,0.214570064867027,41.53347,64.8403588292804,0.23,3.94,1.29,2.98527039848197,0.0496153846153846,0.0769191304639518,1826.17582315757,2.59,,,,,1.3698420086763685
185,2022-06-02,3,0.33,50.0,26,78.85449,,66.66495,,,XZ,,176.5,149.5,,,0.00274278775175057,12.18954,24305.5445896065,0.0,0.91,0.14,0.182847808331064,0.00538461538461539,0.233609073092289,2112.25782194652,6.08,,,,bad,2.481152800354035
189,2022-06-02,7,0.33,50.0,34,52.15254,,14.21343,,,XZ,,116.0,131.0,,,0.187797302040233,37.93911,75.6849531147948,0.07,6.46,0.56,2.66924380673771,0.0164705882352941,0.743472680158678,1978.30006843918,2.63,,,,,0.3825335144332478
190,2022-06-02,8,0.33,50.0,34,74.90835,,13.9128,,,XZ,,179.5,151.5,,,0.31511499328373,60.99555,44.1515011869744,0.0,4.05,3.22,4.38413187855787,0.0947058823529412,0.284992475372139,5944.92704588135,4.29,,,,,1.5762541800620675
192,2022-06-03,1,0.33,50.0,26,65.68518,,42.88515,,,XZ,,133.5,119.5,,,0.0123971413086252,22.80003,3459.27733921714,0.0,0.32,0.1,0.531653264591589,,0.326164514049097,2226.37611667203,1.69,,,,bad,1.2314727943172694
194,2022-06-03,3,0.33,50.0,26,123.08835,,44.57343,,,XZ,,263.5,268.5,,,0.039518466390591,78.51492,1127.91396203099,0.0,1.19,0.31,1.76147359536836,0.0119230769230769,0.256960089098191,19335.8543337449,2.88,,,,bad,0.3576075668540294
