DE#,Date,Video#,MPP,FPS,OD,D,D_err,d,d_err,Easy to analyze?,Plane,Comment,x0,y0,Rinfy,t2,(D-d)/d^2,D-d,d^3/(D-d),t1_fit,t2_fit,DA_fit,(D-d)/d,DA/OD,c,number of bacteria,mean velocity (1s),mean velocity middle,mean velocity end,Unnamed: 30,Fitting,variance
118,,experimentoDE_510121_OD80_50fps_exp1002,0.11,50.0,80,63.7,,18.0,,,XY,Chile,,,11.0,3.5,0.141049382716049,45.7,127.614879649891,0.13,3.73,1.47,2.53888888888889,0.018375,0.0269075922866681,8461.85128981334,,,,,,5.100881703058026
119,,experimentoDE_510121_OD150_50fps_exp1,0.11,50.0,150,50.6,,12.9,,,XY,Chile,,,27.0,7.0,0.226548885283336,37.7,56.9413527851459,0.33,4.77,3.01,2.92248062015504,0.0200666666666667,0.0326174767382737,8001.1926956,,,,,,12.797899567097359
120,,experimentoDE_510121_OD150_50fps_exp1001,0.11,50.0,150,64.7,,15.2,,,XY,Chile,,,13.0,3.0,0.214248614958449,49.5,70.9456161616162,0.21,2.98,2.2,3.25657894736842,0.0146666666666667,0.0626284890443663,16788.211902,,,,,,5.923691975980107
121,,experimentoDE_510121_OD150_50fps_exp1002,0.11,50.0,150,24.4,,10.7,,,XY,Chile,,,1.5,4.9,0.11966110577343,13.7,89.419197080292,0.07,4.79,0.17,1.2803738317757,0.00113333333333333,0.0324515145367639,835.3493348,,,,,,0.7434247615327265
122,,experimentoDE_OD10_211220_50fps_exp_1001,0.11,50.0,10,52.4,,15.2,,,XY,Chile,,,1.0,3.3,0.16101108033241,37.2,94.403440860215,0.22,2.32,0.24,2.44736842105263,0.024,0.041537645876412,587.66572032,,,,,,0.523740733779745
123,,experimentoDE_OD24_211220_50fps_exp1,0.11,50.0,24,41.2,,10.6,,,XY,Chile,,,6.0,5.0,0.272338910644357,30.6,38.922091503268,0.13,6.06,0.72,2.88679245283019,0.03,0.0128398269885182,690.734808576,,,,,,3.9445048567027876
124,,experimentoDE_OD24_211220_50fps_exp1001,0.11,50.0,24,53.0,,8.4,,,XY,Chile,,,32.0,10.0,0.632086167800453,44.6,13.2893273542601,0.12,9.73,1.66,5.30952380952381,0.0691666666666667,0.0428369712286116,1489.960606208,,,,,,14.735843333851898
125,,experimentoDE_OD24_211220_50fps_exp1002,0.11,50.0,24,37.4,,7.3,,,XY,Chile,,,40.0,13.0,0.564833927566147,30.1,12.9241528239203,0.08,14.09,1.73,4.12328767123288,0.0720833333333333,0.056806309366844,521.738451136,,,,,,18.929524666241345
126,,experimentoDE_OD24_211220_50fps_exp1003,0.11,50.0,24,55.5,,29.7,,,XY,Chile,,,4.0,,0.029248716117403,25.8,1015.42918604651,0.34,1.35,0.18,0.868686868686869,0.0075,0.095399762666642,1454.506298496,,,,,,0.21953490918579868
127,,experimentoDE_OD24_211220_50fps_exp1004,0.11,50.0,24,52.5,,10.2,,,XY,Chile,,,3.3,3.0,0.406574394463668,42.3,25.0876595744681,0.19,2.14,0.82,4.14705882352941,0.0341666666666667,0.0119860483190931,1443.313982016,,,,,,1.7241122280314238
128,,experimentoDE_OD24_211220_50fps_exp1005,0.11,50.0,24,44.6,,32.3,,,XY,Chile,,,,,0.0117896270452127,12.3,2739.69650406504,0.12,3.49,1.26,0.380804953560372,0.0525,0.0204873758193426,552.823566912,,,,,bad,0.11207784148720373
129,,experimentoDE_OD30_211220_50fps_exp_1002,0.11,50.0,30,26.9,,7.6,,,XY,Chile,,,9.0,5.0,0.334141274238227,19.3,22.7448704663212,0.49,2.67,1.85,2.53947368421053,0.0616666666666667,0.0179638203520501,238.96823048,,,,,,4.468069038537476
130,,experimentoDE_OD30_211220_50fps_exp_1004,0.11,50.0,30,15.2,,4.7,,,XY,Chile,,,5.0,7.0,0.4753282028067,10.5,9.88790476190476,0.36,4.35,0.64,2.23404255319149,0.0213333333333333,0.072284730144788,42.8042916,,,,,,2.467907806331912
131,,experimentoDE_OD30_211220_50fps_exp_1005,0.11,50.0,30,25.0,,16.3,,,XY,Chile,,,0.2,,0.0327449282998984,8.7,497.787011494253,0.1,2.46,0.03,0.533742331288343,0.001,0.0987459067925492,141.85581768,,,,,,0.13317180046225444
132,,experimentoDE_OD30_211220_50fps_exp_1006,0.11,50.0,30,50.1,,10.9,,,XY,Chile,,,11.0,4.0,0.329938557360492,39.2,33.0364540816327,0.16,4.28,1.44,3.59633027522936,0.048,0.0276841260902502,1563.17328832,,,,,,5.63336563670579
133,,experimentoDE_OD30_211220_50fps_exp1006,0.11,50.0,30,29.5,,7.4,,,XY,Chile,,,11.0,5.0,0.403579254930606,22.1,18.33592760181,0.22,4.23,1.39,2.98648648648649,0.0463333333333333,0.0399615052507878,317.35541656,,,,,,5.736043008908207
134,,experimentoDE_OD30_211220_50fps_exp1008,0.11,50.0,30,88.9,,17.7,,,XY,Chile,,,30.0,4.5,0.227265472884548,71.2,77.8824859550562,0.24,3.03,4.99,4.0225988700565,0.166333333333333,0.0715249991580318,8754.94970816,,,,,,17.811278319972978
135,,experimentoDE_OD45_211220_50fps_exp_1,0.11,50.0,45,61.3,,28.3,,,XY,Chile,,,5.5,2.1,0.0412041603715866,33.0,686.823848484849,0.17,1.5,2.05,1.1660777385159,0.0455555555555556,0.0391211386629147,3912.7139964,,,,,,2.823977101460062
136,,experimentoDE_OD45_211220_50fps_exp_1001,0.11,50.0,45,24.8,,9.7,,,XY,Chile,,,10.0,5.0,0.160484642363694,15.1,60.4419205298013,0.41,3.02,2.05,1.55670103092784,0.0455555555555556,0.0336093861976684,270.17160996,,,,,,5.12527811468041
137,,experimentoDE_OD45_211220_50fps_exp_1002,0.11,50.0,45,33.8,,13.8,,,XY,Chile,,,19.0,5.3,0.10501995379122,20.0,131.4036,0.1,5.13,2.12,1.44927536231884,0.0471111111111111,0.0989522574776436,677.983776,,,,,,10.314224935046612
138,,experimentoDE_OD45_211220_50fps_exp_1003,0.11,50.0,45,48.6,,13.6,,,XY,Chile,,,40.0,4.2,0.189230103806228,35.0,71.8701714285714,0.48,2.08,12.56,2.57352941176471,0.279111111111111,0.105982031280146,2115.276072,,,,,,21.138763515317198
139,,experimentoDE_OD45_211220_50fps_exp_1004,0.11,50.0,45,73.0,,45.3,,,XY,Chile,,,0.8,,0.0134984333045822,27.7,3355.94501805054,0.29,1.04,0.42,0.611479028697572,0.00933333333333333,0.0866993180175714,5577.71996532,,,,,,0.4464127075220153
140,,experimentoDE_OD45_211220_50fps_exp_1006,0.11,50.0,45,71.6,,24.4,,,XY,Chile,,,35.0,2.6,0.0792797635044343,47.2,307.770847457627,0.21,2.04,9.7,1.9344262295082,0.215555555555555,0.0159196106108981,6641.75774208,,,,,,18.15392063305316
